englis,french
Earth,terre
while,pendant
history,histoire
history,histoire
point,point
law,droit
morning,matin
whose,dont
no,aucun
to put,mettre
water,eau
law,droit
while,pendant
be,sois
history,histoire
help,aide
baby,bébé
job,boulot
came,venu
cause,cause
thought,pensais
police,police
hours,heures
child,enfant
understood,compris
come,arrivé
in front of,devant
so much,tellement
finally,enfin
husband,mari
whose,dont
today,aujourd'hui
side,côté
beautiful,belle
come,venez
part,partie
here,tiens
any,aucune
give,donner
hand,main
thought,pensais
